user_id,state,district,category_selected,scheme_shown,applied,approved,income_band,age_group,timestamp
USR000062,Gujarat,Junagadh,SC/ST/OBC Welfare,PM DAKSH Scheme,No,No,High,60+,2025-11-29 01:04:14
USR000063,Meghalaya,West Garo Hills,Disability Support (Divyang Schemes),Deendayal Disabled Rehabilitation Scheme,Yes,No,High,18-25,2025-11-17 17:48:02
USR000064,Odisha,Jajpur,Disability Support (Divyang Schemes),ADIP Scheme,Yes,No,Middle,18-25,2025-09-22 07:07:31
USR000065,Tamil Nadu,Madurai,Women Empowerment & Child Welfare,Pradhan Mantri Matru Vandana Yojana,Yes,Yes,Low,18-25,2026-02-17 11:38:15
USR000066,Jharkhand,Ranchi,Health & Public Health,Pradhan Mantri Jan Aushadhi Yojana,Yes,Yes,High,41-60,2025-08-07 17:37:25
USR000067,Bihar,West Champaran,SC/ST/OBC Welfare,Credit Enhancement Scheme SC,Yes,Yes,Middle,18-25,2025-12-18 12:29:52
USR000068,Rajasthan,Jaipur,Health & Public Health,Janani Suraksha Yojana,No,No,High,41-60,2025-08-11 13:09:32
USR000069,Punjab,Patiala,SC/ST/OBC Welfare,Post Matric Scholarship OBC,No,No,Middle,18-25,2025-09-27 16:45:35
USR000070,Sikkim,East Sikkim,Agriculture & Allied Activities,PM Krishi Sinchai Yojana,No,No,Middle,18-25,2025-10-06 02:58:16
USR000071,Manipur,Senapati,Education & Scholarships,Central Sector Scholarship Scheme,No,No,High,18-25,2026-02-21 00:35:25
USR000072,Sikkim,East Sikkim,Senior Citizen Welfare,National Social Assistance Programme,No,No,Middle,18-25,2026-02-23 13:13:25
USR000073,Maharashtra,Nagpur,Health & Public Health,Ayushman Bharat PM-JAY,No,No,Middle,18-25,2025-09-18 07:03:05
USR000074,Bihar,Araria,Women Empowerment & Child Welfare,Mahila Shakti Kendra,Yes,No,Low,41-60,2025-05-31 13:19:48
USR000075,Bihar,Araria,SC/ST/OBC Welfare,Pre Matric Scholarship SC,No,No,High,60+,2025-06-17 05:14:40
USR000076,Odisha,Sambalpur,Women Empowerment & Child Welfare,Mahila Samman Savings Certificate,Yes,No,High,18-25,2026-01-31 01:18:14
USR000077,Assam,Cachar,Women Empowerment & Child Welfare,Working Women Hostel Scheme,Yes,No,Low,18-25,2025-11-23 22:34:50
USR000078,Meghalaya,Jaintia Hills,SC/ST/OBC Welfare,Pre Matric Scholarship SC,Yes,Yes,Low,18-25,2026-01-27 00:53:06
USR000079,Tamil Nadu,Salem,SC/ST/OBC Welfare,Post Matric Scholarship OBC,No,No,High,26-40,2025-10-06 02:44:48
USR000080,Assam,Nagaon,SC/ST/OBC Welfare,NSFDC Loan Schemes,Yes,Yes,Low,41-60,2025-09-04 02:30:17
USR000081,Manipur,Senapati,Disability Support (Divyang Schemes),Gharaunda Scheme,Yes,Yes,High,18-25,2026-02-06 04:04:33
USR000082,Rajasthan,Ajmer,Women Empowerment & Child Welfare,Ujjawala Scheme,Yes,Yes,Low,18-25,2026-01-21 20:52:31
USR000083,Kerala,Kozhikode,SC/ST/OBC Welfare,National Fellowship SC,Yes,Yes,High,60+,2025-06-08 18:36:14
USR000084,Chhattisgarh,Bastar,Disability Support (Divyang Schemes),Vidyasagar Scheme,Yes,No,Middle,18-25,2025-05-23 11:07:32
USR000085,Himachal Pradesh,Kangra,Senior Citizen Welfare,Varishtha Pension Bima Yojana,Yes,Yes,High,60+,2025-10-16 10:27:02
USR000086,Nagaland,Dimapur,Disability Support (Divyang Schemes),Samarth Scheme,Yes,Yes,Low,60+,2026-01-24 19:49:07
USR000087,Mizoram,Saiha,Women Empowerment & Child Welfare,Mahila Samman Savings Certificate,Yes,Yes,High,18-25,2025-04-22 08:48:05
USR000088,Punjab,Patiala,SC/ST/OBC Welfare,NSFDC Loan Schemes,Yes,Yes,Low,41-60,2026-02-10 02:34:19
USR000089,Chhattisgarh,Raipur,Health & Public Health,National Digital Health Mission,Yes,No,Low,18-25,2025-08-12 21:59:04
USR000090,Tripura,Khowai,Senior Citizen Welfare,Atal Pension Yojana,No,No,Middle,18-25,2025-06-16 21:27:20
USR000091,Rajasthan,Jodhpur,Disability Support (Divyang Schemes),Gharaunda Scheme,No,No,Low,41-60,2025-12-11 13:16:41
USR000092,Himachal Pradesh,Solan,Education & Scholarships,Central Sector Scholarship Scheme,No,No,High,26-40,2026-02-02 07:23:44
USR000093,Andhra Pradesh,Visakhapatnam,Disability Support (Divyang Schemes),Deendayal Disabled Rehabilitation Scheme,Yes,Yes,Low,60+,2025-12-27 05:55:34
USR000094,Assam,Cachar,Senior Citizen Welfare,Varishtha Pension Bima Yojana,Yes,No,Middle,18-25,2025-05-24 16:14:14
USR000095,Jharkhand,Deoghar,Senior Citizen Welfare,PM Vaya Vandana Yojana,No,No,High,26-40,2025-03-07 14:57:08
USR000096,Manipur,Bishnupur,Disability Support (Divyang Schemes),Accessible India Campaign,Yes,No,Low,26-40,2025-05-24 14:41:31
USR000097,Madhya Pradesh,Indore,Agriculture & Allied Activities,Agriculture Infrastructure Fund,No,No,Low,18-25,2025-04-25 10:43:06
USR000098,Telangana,Rangareddy,Senior Citizen Welfare,Integrated Programme for Older Persons,Yes,Yes,Low,18-25,2025-07-05 00:58:28
USR000099,Jharkhand,Deoghar,Agriculture & Allied Activities,Agriculture Infrastructure Fund,Yes,Yes,Low,18-25,2025-06-10 17:50:23
USR000100,Mizoram,Mamit,SC/ST/OBC Welfare,Venture Capital Fund SC,Yes,No,High,60+,2025-07-25 01:29:35
USR000101,Uttarakhand,Nainital,Disability Support (Divyang Schemes),Accessible India Campaign,Yes,Yes,High,41-60,2025-08-22 19:44:15
USR000102,Bihar,Madhubani,SC/ST/OBC Welfare,Top Class Education SC,No,No,Low,26-40,2026-02-04 17:41:43
USR000103,Andhra Pradesh,Nellore,Agriculture & Allied Activities,Kisan Credit Card,Yes,No,Middle,26-40,2025-07-19 07:29:59
USR000104,Rajasthan,Ajmer,SC/ST/OBC Welfare,Pre Matric Scholarship SC,Yes,Yes,Low,60+,2026-01-05 17:23:30
USR000105,Sikkim,West Sikkim,SC/ST/OBC Welfare,Credit Enhancement Scheme SC,Yes,Yes,High,41-60,2026-01-25 12:49:13
USR000106,Odisha,Sambalpur,Disability Support (Divyang Schemes),ADIP Scheme,No,No,Middle,41-60,2025-10-04 19:29:02
USR000107,Mizoram,Aizawl,Health & Public Health,Ayushman Bharat PM-JAY,Yes,No,Low,18-25,2025-07-11 06:11:57
USR000108,Chhattisgarh,Durg,Health & Public Health,National Health Mission,Yes,Yes,High,60+,2025-07-09 12:54:33
USR000109,Karnataka,Mysore,Senior Citizen Welfare,Annapurna Scheme,No,No,High,18-25,2025-07-01 02:05:28
USR000110,Nagaland,Kohima,Education & Scholarships,Top Class Education Scheme,No,No,High,18-25,2025-04-16 20:57:12
USR000111,Telangana,Rangareddy,Disability Support (Divyang Schemes),Accessible India Campaign,No,No,Low,26-40,2025-10-04 15:53:54
USR000112,Tripura,Dhalai,Women Empowerment & Child Welfare,STEP Scheme,Yes,No,Middle,60+,2025-07-02 02:05:52
USR000113,Assam,Nagaon,Agriculture & Allied Activities,PM-KISAN,No,No,Middle,60+,2025-04-12 14:14:56
USR000114,Odisha,Cuttack,Women Empowerment & Child Welfare,Beti Bachao Beti Padhao,No,No,Low,26-40,2025-11-26 01:17:19
USR000115,Kerala,Thiruvananthapuram,Education & Scholarships,PM Research Fellowship,Yes,Yes,Middle,41-60,2025-03-21 17:18:14
USR000116,Jharkhand,Ranchi,Education & Scholarships,National Means Cum Merit Scholarship,No,No,High,26-40,2025-07-21 07:41:13
USR000117,Madhya Pradesh,Bhopal,Agriculture & Allied Activities,PM Krishi Sinchai Yojana,No,No,Middle,18-25,2026-01-25 13:30:15
USR000118,Uttarakhand,Dehradun,Disability Support (Divyang Schemes),Sahyogi Scheme,Yes,Yes,Middle,26-40,2025-07-01 16:00:23
USR000119,Assam,Barpeta,Senior Citizen Welfare,Rashtriya Vayoshri Yojana,Yes,Yes,Middle,18-25,2025-03-02 07:32:16
USR000120,Bihar,Patna,Health & Public Health,Ayushman Bharat PM-JAY,Yes,Yes,Low,41-60,2025-05-14 20:22:48
USR000121,Karnataka,Hubli,Agriculture & Allied Activities,National Horticulture Mission,Yes,Yes,High,41-60,2026-02-04 06:27:54
USR000122,West Bengal,Birbhum,Education & Scholarships,Pre Matric Scholarship OBC,Yes,Yes,High,60+,2025-03-03 01:38:03
USR000123,Meghalaya,East Garo Hills,Senior Citizen Welfare,Indira Gandhi National Old Age Pension,No,No,Low,60+,2025-09-09 07:59:01
USR000124,Jharkhand,Deoghar,Agriculture & Allied Activities,Soil Health Card Scheme,No,No,Low,26-40,2025-09-29 14:54:27
USR000125,Assam,Morigaon,Women Empowerment & Child Welfare,Mahila Samman Savings Certificate,Yes,No,Low,18-25,2025-05-21 23:02:21
USR000126,Andhra Pradesh,Kadapa,SC/ST/OBC Welfare,Venture Capital Fund SC,No,No,Middle,41-60,2025-12-01 23:21:52
USR000127,Punjab,Amritsar,Disability Support (Divyang Schemes),Samarth Scheme,Yes,Yes,Low,60+,2025-07-08 22:36:07
USR000128,Meghalaya,West Khasi Hills,Women Empowerment & Child Welfare,Anganwadi Services ICDS,Yes,No,High,60+,2026-01-21 09:37:45
USR000129,Andhra Pradesh,Nellore,SC/ST/OBC Welfare,Post Matric Scholarship OBC,No,No,High,60+,2025-11-16 23:39:59
USR000130,Telangana,Nalgonda,Senior Citizen Welfare,PM Vaya Vandana Yojana,No,No,High,41-60,2025-12-14 06:24:36
USR000131,Uttarakhand,Dehradun,SC/ST/OBC Welfare,Credit Enhancement Scheme SC,No,No,Low,60+,2025-05-05 17:15:20
USR000132,Manipur,Imphal East,SC/ST/OBC Welfare,Top Class Education SC,Yes,Yes,High,26-40,2025-06-04 00:58:03
USR000133,West Bengal,Kolkata,SC/ST/OBC Welfare,Post Matric Scholarship OBC,Yes,No,Middle,26-40,2026-02-02 19:38:57
USR000134,Chhattisgarh,Bilaspur,Education & Scholarships,SHREYAS Scheme,No,No,Middle,18-25,2025-10-19 22:00:47
USR000135,Odisha,Bhubaneswar,SC/ST/OBC Welfare,National Fellowship SC,Yes,Yes,Low,60+,2026-01-25 02:58:12
USR000136,Andhra Pradesh,Guntur,Senior Citizen Welfare,Senior Citizen Savings Scheme,No,No,Middle,18-25,2025-03-01 03:11:42
USR000137,Uttarakhand,Bageshwar,Disability Support (Divyang Schemes),ADIP Scheme,Yes,Yes,Low,60+,2025-11-08 19:26:04
USR000138,Maharashtra,Nagpur,Education & Scholarships,Pre Matric Scholarship OBC,No,No,Middle,41-60,2026-02-06 13:31:13
USR000139,West Bengal,Birbhum,Women Empowerment & Child Welfare,Pradhan Mantri Matru Vandana Yojana,No,No,Middle,60+,2025-09-17 22:23:03
USR000140,Odisha,Cuttack,Health & Public Health,Pradhan Mantri Jan Aushadhi Yojana,Yes,No,Low,26-40,2025-09-06 14:15:24
USR000141,Tripura,Khowai,SC/ST/OBC Welfare,National Fellowship SC,Yes,Yes,High,60+,2025-12-14 21:25:15
USR000142,Gujarat,Surat,Education & Scholarships,National Means Cum Merit Scholarship,Yes,No,Low,41-60,2025-07-17 18:24:55
USR000143,Karnataka,Tumkur,Health & Public Health,Mission Indradhanush,Yes,Yes,High,41-60,2026-01-04 12:09:53
USR000144,Andhra Pradesh,Guntur,Disability Support (Divyang Schemes),Unique Disability ID UDID,No,No,Middle,26-40,2025-09-05 04:21:50
USR000145,Chhattisgarh,Raipur,Agriculture & Allied Activities,Paramparagat Krishi Vikas Yojana,No,No,Low,41-60,2025-11-30 07:24:59
USR000146,Madhya Pradesh,Ujjain,Education & Scholarships,National Overseas Scholarship,Yes,Yes,High,18-25,2025-04-10 00:40:33
USR000147,Sikkim,South Sikkim,Health & Public Health,National Digital Health Mission,No,No,Low,18-25,2025-07-22 00:09:44
USR000148,Karnataka,Mangalore,Women Empowerment & Child Welfare,STEP Scheme,Yes,Yes,Low,41-60,2025-10-03 15:33:12
USR000149,Telangana,Karimnagar,Disability Support (Divyang Schemes),Vidyasagar Scheme,No,No,Middle,41-60,2025-07-10 21:49:21
USR000150,Tripura,Khowai,Health & Public Health,Mission Indradhanush,No,No,Low,18-25,2025-09-04 17:13:10
USR000151,Karnataka,Bangalore,Education & Scholarships,National Means Cum Merit Scholarship,Yes,Yes,Middle,60+,2025-04-18 12:15:13
USR000152,Assam,Cachar,Education & Scholarships,Top Class Education Scheme,Yes,Yes,Middle,41-60,2025-05-12 22:46:52
USR000153,Karnataka,Hubli,Disability Support (Divyang Schemes),ADIP Scheme,No,No,Low,60+,2026-01-05 11:09:52
USR000154,Odisha,Bargarh,Health & Public Health,Pradhan Mantri Surakshit Matritva Abhiyan,Yes,Yes,Middle,41-60,2025-08-21 08:06:53
USR000155,Karnataka,Tumkur,Disability Support (Divyang Schemes),Gharaunda Scheme,No,No,Low,18-25,2025-03-20 14:41:55
USR000156,Manipur,Imphal East,Health & Public Health,National Digital Health Mission,Yes,No,High,60+,2025-04-30 00:36:43
USR000157,Gujarat,Bharuch,Health & Public Health,TB Elimination Programme,No,No,High,26-40,2025-03-30 15:16:25
USR000158,Sikkim,East Sikkim,SC/ST/OBC Welfare,Pre Matric Scholarship SC,Yes,No,High,18-25,2025-10-04 18:04:24
USR000159,Haryana,Karnal,Agriculture & Allied Activities,Paramparagat Krishi Vikas Yojana,Yes,Yes,High,18-25,2026-02-25 17:18:06
USR000160,Meghalaya,East Garo Hills,Agriculture & Allied Activities,PM Kisan Maan Dhan Yojana,No,No,Low,26-40,2025-11-29 09:24:58
USR000161,Manipur,Thoubal,Senior Citizen Welfare,Atal Pension Yojana,No,No,Low,18-25,2025-08-27 04:39:24
USR000162,Haryana,Gurgaon,Senior Citizen Welfare,Senior Citizen Savings Scheme,Yes,No,Middle,18-25,2026-02-15 17:33:13
USR000163,Nagaland,Tuensang,Women Empowerment & Child Welfare,Ujjawala Scheme,No,No,Low,41-60,2025-10-06 01:04:48
USR000164,West Bengal,Murshidabad,Women Empowerment & Child Welfare,Pradhan Mantri Matru Vandana Yojana,Yes,No,Middle,26-40,2025-07-19 14:50:58
USR000165,Madhya Pradesh,Ujjain,Education & Scholarships,Central Sector Scholarship Scheme,Yes,Yes,High,60+,2025-10-27 20:52:51
USR000166,Jharkhand,Godda,Health & Public Health,Pradhan Mantri Jan Aushadhi Yojana,Yes,Yes,Middle,26-40,2025-12-13 02:47:56
USR000167,West Bengal,Darjeeling,Senior Citizen Welfare,Atal Pension Yojana,No,No,High,18-25,2025-06-11 01:20:39
USR000168,Gujarat,Vadodara,Education & Scholarships,National Overseas Scholarship,No,No,High,18-25,2025-09-17 20:52:52
USR000169,Uttarakhand,Dehradun,SC/ST/OBC Welfare,Post Matric Scholarship OBC,No,No,High,26-40,2025-09-11 20:46:23
USR000170,Mizoram,Aizawl,Agriculture & Allied Activities,Pradhan Mantri Fasal Bima Yojana,Yes,Yes,Middle,41-60,2025-11-30 08:10:33
USR000171,Rajasthan,Udaipur,Senior Citizen Welfare,Varishtha Pension Bima Yojana,No,No,High,18-25,2025-10-14 13:09:36
USR000172,Rajasthan,Barmer,Women Empowerment & Child Welfare,Mahila Samman Savings Certificate,Yes,Yes,High,26-40,2025-09-09 09:15:10
USR000173,Andhra Pradesh,Chittoor,Disability Support (Divyang Schemes),National Trust Niramaya,No,No,Low,18-25,2025-06-13 04:53:04
USR000174,Punjab,Jalandhar,Education & Scholarships,Vidya Lakshmi Scheme,No,No,High,41-60,2025-08-17 15:10:39
USR000175,Madhya Pradesh,Sagar,Women Empowerment & Child Welfare,Beti Bachao Beti Padhao,No,No,Low,26-40,2025-07-02 07:47:24
USR000176,Rajasthan,Jaipur,Agriculture & Allied Activities,Paramparagat Krishi Vikas Yojana,Yes,Yes,Low,41-60,2025-09-08 19:33:21
USR000177,Meghalaya,East Khasi Hills,Education & Scholarships,National Means Cum Merit Scholarship,Yes,Yes,Low,41-60,2025-10-04 12:26:56
USR000178,Gujarat,Junagadh,Agriculture & Allied Activities,Paramparagat Krishi Vikas Yojana,No,No,Middle,60+,2025-06-25 21:23:57
USR000179,West Bengal,Murshidabad,Health & Public Health,Mission Indradhanush,Yes,Yes,Middle,18-25,2025-12-19 12:05:55
USR000180,Mizoram,Lunglei,Education & Scholarships,Central Sector Scholarship Scheme,No,No,Low,41-60,2025-09-06 16:30:08
USR000181,Haryana,Rohtak,Disability Support (Divyang Schemes),Samarth Scheme,Yes,Yes,Middle,18-25,2026-01-23 09:05:39
USR000182,Haryana,Hisar,Education & Scholarships,Mid Day Meal Scheme,Yes,Yes,Low,41-60,2025-09-09 11:49:45
USR000183,West Bengal,Kolkata,Agriculture & Allied Activities,Kisan Credit Card,No,No,High,26-40,2025-10-05 15:26:15
USR000184,Meghalaya,Jaintia Hills,SC/ST/OBC Welfare,Credit Enhancement Scheme SC,Yes,Yes,Middle,26-40,2025-11-25 20:43:36
USR000185,Manipur,Imphal East,SC/ST/OBC Welfare,NSFDC Loan Schemes,Yes,No,Middle,18-25,2025-04-03 04:28:54
USR000186,West Bengal,Jalpaiguri,Senior Citizen Welfare,Varishtha Pension Bima Yojana,No,No,Middle,60+,2025-08-23 04:02:57
USR000187,Sikkim,East Sikkim,Disability Support (Divyang Schemes),Gharaunda Scheme,Yes,Yes,Low,60+,2025-07-11 23:49:20
USR000188,West Bengal,Murshidabad,Disability Support (Divyang Schemes),National Trust Niramaya,Yes,Yes,Low,26-40,2025-03-22 13:55:12
USR000189,Haryana,Faridabad,SC/ST/OBC Welfare,Pre Matric Scholarship SC,No,No,High,18-25,2025-11-06 13:46:06
USR000190,Manipur,Imphal East,Women Empowerment & Child Welfare,Ujjawala Scheme,No,No,Low,60+,2025-10-06 14:10:48
USR000191,Kerala,Thiruvananthapuram,Disability Support (Divyang Schemes),ADIP Scheme,Yes,No,Low,60+,2025-05-21 15:38:59
USR000192,Jharkhand,Deoghar,Disability Support (Divyang Schemes),Deendayal Disabled Rehabilitation Scheme,No,No,Low,18-25,2025-03-14 19:24:26
USR000193,Himachal Pradesh,Shimla,Disability Support (Divyang Schemes),Gharaunda Scheme,Yes,Yes,Low,26-40,2025-11-13 15:37:33
USR000194,Punjab,Ludhiana,Women Empowerment & Child Welfare,POSHAN Abhiyaan,No,No,Low,26-40,2025-11-29 13:43:41
USR000195,Bihar,Madhubani,Disability Support (Divyang Schemes),Samarth Scheme,No,No,Middle,26-40,2025-07-05 05:34:47
USR000196,Kerala,Kozhikode,SC/ST/OBC Welfare,National Fellowship OBC,Yes,No,Low,18-25,2025-04-08 10:52:52
USR000197,Assam,Cachar,SC/ST/OBC Welfare,Top Class Education SC,No,No,High,26-40,2025-06-10 18:39:59
USR000198,Bihar,Madhubani,Agriculture & Allied Activities,e-NAM,Yes,No,Low,41-60,2026-02-16 12:40:28
USR000199,Jharkhand,Dumka,Education & Scholarships,Pre Matric Scholarship OBC,Yes,No,High,26-40,2025-05-30 21:26:10
USR000200,Gujarat,Vadodara,Education & Scholarships,SHREYAS Scheme,Yes,Yes,High,60+,2025-12-27 02:22:17
USR000201,Assam,Sonitpur,Disability Support (Divyang Schemes),Vidyasagar Scheme,Yes,Yes,Low,18-25,2025-10-19 08:14:12
USR000202,Madhya Pradesh,Jabalpur,SC/ST/OBC Welfare,National Fellowship SC,No,No,Low,60+,2025-05-07 14:47:18
USR000203,Uttar Pradesh,Varanasi,Women Empowerment & Child Welfare,STEP Scheme,Yes,No,Low,60+,2025-05-21 09:34:36
USR000204,Manipur,Imphal East,Education & Scholarships,PM Research Fellowship,No,No,Low,26-40,2026-01-22 07:53:54
USR000205,Kerala,Ernakulathappan,SC/ST/OBC Welfare,Top Class Education SC,Yes,Yes,High,41-60,2026-02-16 09:03:55
USR000206,Gujarat,Surat,Women Empowerment & Child Welfare,Working Women Hostel Scheme,No,No,High,41-60,2025-08-28 02:05:48
USR000207,Haryana,Ambala,Education & Scholarships,SHREYAS Scheme,Yes,No,High,26-40,2025-03-01 17:16:49
USR000208,Himachal Pradesh,Solan,Agriculture & Allied Activities,Kisan Credit Card,Yes,Yes,Middle,26-40,2026-01-01 01:16:37
USR000209,Assam,Nagaon,Agriculture & Allied Activities,Pradhan Mantri Fasal Bima Yojana,No,No,High,26-40,2025-09-12 23:36:12
