scheme_name,domain,ministry,description,target_beneficiaries,eligibility_criteria,age_limit,income_limit,required_documents,benefits,application_mode,official_apply_link,state_applicability,timeline
One Stop Centre Scheme,Women Empowerment & Child Welfare,,,,,,,,,,https://sakhi.gov.in,Pan India,
STEP Scheme,Women Empowerment & Child Welfare,,,,,,,,,,https://wcd.nic.in,Pan India,
Mahila Shakti Kendra,Women Empowerment & Child Welfare,,,,,,,,,,https://wcd.nic.in,Pan India,
Ujjawala Scheme,Women Empowerment & Child Welfare,,,,,,,,,,https://wcd.nic.in,Pan India,
Working Women Hostel Scheme,Women Empowerment & Child Welfare,,,,,,,,,,https://wcd.nic.in,Pan India,
POSHAN Abhiyaan,Women Empowerment & Child Welfare,,,,,,,,,,https://poshanabhiyaan.gov.in,Pan India,
Mahila Samman Savings Certificate,Women Empowerment & Child Welfare,,,,,,,,,,https://nsiindia.gov.in,Pan India,
PM DAKSH Scheme,SC/ST/OBC Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
Free Coaching Scheme SC OBC,SC/ST/OBC Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
National Fellowship SC,SC/ST/OBC Welfare,,,,,,,,,,https://fellowships.gov.in,Pan India,
National Fellowship OBC,SC/ST/OBC Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
Pre Matric Scholarship SC,SC/ST/OBC Welfare,,,,,,,,,,https://scholarships.gov.in,Pan India,
Post Matric Scholarship OBC,SC/ST/OBC Welfare,,,,,,,,,,https://scholarships.gov.in,Pan India,
Top Class Education SC,SC/ST/OBC Welfare,,,,,,,,,,https://scholarships.gov.in,Pan India,
Venture Capital Fund SC,SC/ST/OBC Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
Credit Enhancement Scheme SC,SC/ST/OBC Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
NSFDC Loan Schemes,SC/ST/OBC Welfare,,,,,,,,,,https://nsfdc.nic.in,Pan India,
Indira Gandhi National Old Age Pension,Senior Citizen Welfare,,,,,,,,,,https://nsap.nic.in,Pan India,
National Social Assistance Programme,Senior Citizen Welfare,,,,,,,,,,https://nsap.nic.in,Pan India,
Senior Citizen Savings Scheme,Senior Citizen Welfare,,,,,,,,,,https://nsiindia.gov.in,Pan India,
PM Vaya Vandana Yojana,Senior Citizen Welfare,,,,,,,,,,https://licindia.in,Pan India,
Rashtriya Vayoshri Yojana,Senior Citizen Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
Integrated Programme for Older Persons,Senior Citizen Welfare,,,,,,,,,,https://socialjustice.gov.in,Pan India,
Varishtha Pension Bima Yojana,Senior Citizen Welfare,,,,,,,,,,https://licindia.in,Pan India,
Elderline Helpline,Senior Citizen Welfare,,,,,,,,,,https://elderline.in,Pan India,
Atal Pension Yojana,Senior Citizen Welfare,,,,,,,,,,https://npscra.nsdl.co.in,Pan India,
Annapurna Scheme,Senior Citizen Welfare,,,,,,,,,,https://nsap.nic.in,Pan India,
ADIP Scheme,Disability Support (Divyang Schemes),,,,,,,,,,https://adip.msje.gov.in,Pan India,
Accessible India Campaign,Disability Support (Divyang Schemes),,,,,,,,,,https://accessibleindia.gov.in,Pan India,
Unique Disability ID UDID,Disability Support (Divyang Schemes),,,,,,,,,,https://udid.gov.in,Pan India,
Deendayal Disabled Rehabilitation Scheme,Disability Support (Divyang Schemes),,,,,,,,,,https://socialjustice.gov.in,Pan India,
National Trust Niramaya,Disability Support (Divyang Schemes),,,,,,,,,,https://thenationaltrust.gov.in,Pan India,
Gharaunda Scheme,Disability Support (Divyang Schemes),,,,,,,,,,https://thenationaltrust.gov.in,Pan India,
Sahyogi Scheme,Disability Support (Divyang Schemes),,,,,,,,,,https://thenationaltrust.gov.in,Pan India,
Samarth Scheme,Disability Support (Divyang Schemes),,,,,,,,,,https://thenationaltrust.gov.in,Pan India,
Vidyasagar Scheme,Disability Support (Divyang Schemes),,,,,,,,,,https://socialjustice.gov.in,Pan India,
Indira Gandhi Disability Pension,Disability Support (Divyang Schemes),,,,,,,,,,https://nsap.nic.in,Pan India,
